,Unnamed: 0,time,flux,quarter,flux_w_transitNJ,flux_w_transitMNSE,flux_w_transitEarth,flux_w_transitW,flux_w_transit_ecc02,flux_w_transit_ecc04,flux_w_transit_ecc06,flux_w_transit_ecc08,model_YSD
0,0,0.0078457166666666,1.0004773125,1.0,1.0004773125,1.0004773125,1.0004773125,1.0004773125,1.0004773125,1.0004773125,1.0004773125,1.0004773125,1.0030947830516688
1,1,0.0147901583333333,1.0003998791666666,1.0,1.0003998791666666,1.0003998791666666,1.0003998791666666,1.0003998791666666,1.0003998791666666,1.0003998791666666,1.0003998791666666,1.0003998791666666,1.0030957067982371
2,2,0.0217346041666666,1.0004126375,1.0,1.0004126375,1.0004126375,1.0004126375,1.0004126375,1.0004126375,1.0004126375,1.0004126375,1.0004126375,1.003096618970346
3,3,0.02867905,1.0004189458333332,1.0,1.0004189458333332,1.0004189458333332,1.0004189458333332,1.0004189458333332,1.0004189458333332,1.0004189458333332,1.0004189458333332,1.0004189458333332,1.0030975195626208
4,4,0.0356234958333333,1.0004881708333333,1.0,1.0004881708333333,1.0004881708333333,1.0004881708333333,1.0004881708333333,1.0004881708333333,1.0004881708333333,1.0004881708333333,1.0004881708333333,1.0030984087002335
5,5,0.0425679416666666,1.0005607958333331,1.0,1.0005607958333331,1.0005607958333331,1.0005607958333331,1.0005607958333331,1.0005607958333331,1.0005607958333331,1.0005607958333331,1.0005607958333331,1.003099286631386
6,6,0.0495123833333333,1.0005425416666671,1.0,1.0005425416666671,1.0005425416666671,1.0005425416666671,1.0005425416666671,1.0005425416666671,1.0005425416666671,1.0005425416666671,1.0005425416666671,1.0031001536852961
7,7,0.0564568291666666,1.0004966291666666,1.0,1.0004966291666666,1.0004966291666666,1.0004966291666666,1.0004966291666666,1.0004966291666666,1.0004966291666666,1.0004966291666666,1.0004966291666666,1.0031010102153017
8,8,0.0634012708333333,1.0004734,1.0,1.0004734,1.0004734,1.0004734,1.0004734,1.0004734,1.0004734,1.0004734,1.0004734,1.0031018566064478
9,9,0.0703457166666666,1.00047575,1.0,1.00047575,1.00047575,1.00047575,1.00047575,1.00047575,1.00047575,1.00047575,1.00047575,1.00310269332306
10,10,0.0772901583333333,1.0005278708333334,1.0,1.0005278708333334,1.0005278708333334,1.0005278708333334,1.0005278708333334,1.0005278708333334,1.0005278708333334,1.0005278708333334,1.0005278708333334,1.003103520928118
11,11,0.0842346041666666,1.000626575,1.0,1.000626575,1.000626575,1.000626575,1.000626575,1.000626575,1.000626575,1.000626575,1.000626575,1.0031043400826947
12,12,0.09117905,1.0006347416666668,1.0,1.0006347416666668,1.0006347416666668,1.0006347416666668,1.0006347416666668,1.0006347416666668,1.0006347416666668,1.0006347416666668,1.0006347416666668,1.003105151492068
13,13,0.0981234958333333,1.0005762666666669,1.0,1.0005762666666669,1.0005762666666669,1.0005762666666669,1.0005762666666669,1.0005762666666669,1.0005762666666669,1.0005762666666669,1.0005762666666669,1.0031059558256064
14,14,0.1050679416666666,1.0006784875,1.0,1.0006784875,1.0006784875,1.0006784875,1.0006784875,1.0006784875,1.0006784875,1.0006784875,1.0006784875,1.0031067537028318
